CHORD TIMELINE DEBUG - blob
123.089s - 124.111s | Em7        | [STRUCTURAL]
124.111s - 124.668s | C#m        | [STRUCTURAL]
124.668s - 125.179s | F#m        | [STRUCTURAL]
125.179s - 125.690s | Em7        | [STRUCTURAL]
125.690s - 126.224s | Am         | [STRUCTURAL]
126.224s - 126.735s | F#m        | [STRUCTURAL]
126.735s - 127.245s | Bm         | [STRUCTURAL]
127.245s - 128.290s | G#m        | [STRUCTURAL]
128.290s - 128.824s | A#m7       | [PASSING]
128.824s - 129.358s | Bm         | [STRUCTURAL]
129.358s - 129.869s | F#m        | [STRUCTURAL]
129.869s - 131.959s | Em7        | [STRUCTURAL]
131.959s - 134.026s | F#m        | [STRUCTURAL]
134.026s - 134.560s | Em7        | [STRUCTURAL]
134.560s - 135.605s | F#m        | [STRUCTURAL]
135.605s - 136.139s | Fm7        | [STRUCTURAL]
136.139s - 136.649s | F#m        | [PASSING]
136.649s - 137.207s | G#m        | [STRUCTURAL]
137.207s - 138.205s | C#m        | [STRUCTURAL]
138.205s - 138.762s | Em7        | [STRUCTURAL]
138.762s - 139.273s | F#m        | [STRUCTURAL]
139.273s - 140.318s | Em7        | [STRUCTURAL]
140.318s - 140.806s | Em7        | [STRUCTURAL]
140.806s - 141.874s | Em7        | [STRUCTURAL]
141.874s - 142.408s | C#m        | [STRUCTURAL]
142.408s - 143.453s | F#m        | [STRUCTURAL]
143.453s - 143.964s | Em7        | [STRUCTURAL]
143.964s - 146.588s | F#m        | [STRUCTURAL]
146.588s - 147.098s | Em7        | [STRUCTURAL]
147.098s - 147.609s | F#m        | [STRUCTURAL]
147.609s - 148.143s | Em7        | [STRUCTURAL]
148.143s - 148.677s | F#m        | [STRUCTURAL]
148.677s - 149.165s | Em7        | [STRUCTURAL]
149.165s - 149.699s | F#m        | [STRUCTURAL]
149.699s - 150.210s | Em7        | [STRUCTURAL]
150.210s - 150.721s | C#m        | [STRUCTURAL]
150.721s - 151.255s | Em7        | [STRUCTURAL]
151.255s - 151.789s | F#m        | [STRUCTURAL]
151.789s - 152.323s | Em7        | [STRUCTURAL]
152.323s - 152.834s | F#m        | [STRUCTURAL]
152.834s - 153.902s | Em7        | [STRUCTURAL]
153.902s - 154.947s | F#m        | [STRUCTURAL]
154.947s - 155.945s | Em7        | [STRUCTURAL]
155.945s - 156.479s | Bm         | [STRUCTURAL]
156.479s - 157.013s | Em7        | [STRUCTURAL]
157.013s - 157.547s | A7         | [STRUCTURAL]
157.547s - 158.058s | Em7        | [STRUCTURAL]
158.058s - 159.103s | F#m        | [STRUCTURAL]
159.103s - 161.193s | Em7        | [STRUCTURAL]
161.193s - 161.704s | F#m        | [STRUCTURAL]
161.704s - 163.260s | F#m        | [STRUCTURAL]
163.260s - 166.905s | C#m        | [STRUCTURAL]
166.905s - 167.439s | F#m        | [STRUCTURAL]
167.439s - 167.973s | Em7        | [STRUCTURAL]
167.973s - 168.507s | F#m        | [STRUCTURAL]
168.507s - 169.018s | C#m        | [STRUCTURAL]
169.018s - 169.529s | F#m        | [STRUCTURAL]
169.529s - 171.595s | F#m        | [STRUCTURAL]
171.595s - 172.130s | Em7        | [STRUCTURAL]
172.130s - 172.664s | F#m        | [STRUCTURAL]
172.664s - 173.174s | C#m        | [STRUCTURAL]
173.174s - 173.685s | Em7        | [STRUCTURAL]
173.685s - 175.264s | F#m        | [STRUCTURAL]
175.264s - 175.775s | C#m        | [STRUCTURAL]
175.775s - 176.286s | F#m        | [STRUCTURAL]
176.286s - 176.843s | Em7        | [STRUCTURAL]
176.843s - 177.377s | C#m        | [STRUCTURAL]
177.377s - 177.888s | Eadd9      | [STRUCTURAL]
177.888s - 179.421s | F#m        | [STRUCTURAL]
179.421s - 179.955s | Bm         | [STRUCTURAL]
179.955s - 180.465s | F#m        | [STRUCTURAL]
180.465s - 181.000s | Em7        | [STRUCTURAL]
181.000s - 181.534s | F#m        | [STRUCTURAL]
181.534s - 182.044s | C#7        | [STRUCTURAL]
182.044s - 182.555s | C#m        | [STRUCTURAL]
182.555s - 184.111s | Em7        | [STRUCTURAL]
184.111s - 184.668s | C#m        | [STRUCTURAL]
184.668s - 185.690s | C#7        | [STRUCTURAL]
185.690s - 186.224s | F#m        | [STRUCTURAL]
186.224s - 187.780s | C#7        | [STRUCTURAL]
187.780s - 188.291s | F#m        | [STRUCTURAL]
188.291s - 190.380s | C#m        | [STRUCTURAL]
190.380s - 191.425s | F#m        | [STRUCTURAL]
191.425s - 191.959s | Bm         | [STRUCTURAL]
191.959s - 192.470s | F#m        | [STRUCTURAL]
192.470s - 193.004s | Em7        | [STRUCTURAL]
193.004s - 194.026s | F#m        | [STRUCTURAL]
194.026s - 195.094s | C#7        | [STRUCTURAL]
195.094s - 196.139s | F#m        | [STRUCTURAL]
196.139s - 197.184s | C#m        | [STRUCTURAL]
197.184s - 198.740s | F#m        | [STRUCTURAL]
198.740s - 199.784s | Em7        | [STRUCTURAL]
199.784s - 200.853s | F#m        | [STRUCTURAL]
200.853s - 201.874s | Em7        | [STRUCTURAL]
201.874s - 202.408s | Em7        | [STRUCTURAL]
202.408s - 202.919s | Em7        | [STRUCTURAL]
202.919s - 203.453s | F#m        | [STRUCTURAL]
203.453s - 204.498s | F#m        | [STRUCTURAL]
204.498s - 206.077s | C#7        | [STRUCTURAL]
206.077s - 206.588s | F#m        | [STRUCTURAL]
206.588s - 208.794s | F#m        | [STRUCTURAL]
208.794s - 209.421s | Bm         | [STRUCTURAL]
209.421s - 209.955s | C#m        | [STRUCTURAL]
209.955s - 210.489s | F#m        | [STRUCTURAL]
210.489s - 211.000s | C#m        | [STRUCTURAL]
211.000s - 212.045s | F#m        | [STRUCTURAL]
212.045s - 213.577s | C#m        | [STRUCTURAL]
213.577s - 216.201s | G#m        | [STRUCTURAL]
216.201s - 216.758s | Fm7        | [STRUCTURAL]
216.758s - 217.826s | G#m        | [STRUCTURAL]
217.826s - 219.475s | F#m        | [STRUCTURAL]
219.475s - 219.963s | C#m        | [STRUCTURAL]
219.963s - 220.497s | Em7        | [STRUCTURAL]
220.497s - 222.052s | C#m        | [STRUCTURAL]
222.052s - 223.121s | C#7        | [STRUCTURAL]
223.121s - 224.189s | C#m        | [STRUCTURAL]
224.189s - 225.326s | C#7        | [STRUCTURAL]
225.326s - 226.418s | F#m        | [STRUCTURAL]
226.418s - 227.532s | C#m        | [STRUCTURAL]
227.532s - 229.204s | Bm         | [STRUCTURAL]
229.204s - 231.201s | C#m        | [STRUCTURAL]
231.201s - 232.757s | C#7        | [STRUCTURAL]
232.757s - 233.291s | C#m        | [STRUCTURAL]
233.291s - 233.825s | C#m        | [STRUCTURAL]
233.825s - 235.775s | C#m        | [STRUCTURAL]
235.775s - 236.309s | F#m        | [STRUCTURAL]
236.309s - 236.820s | Bm         | [STRUCTURAL]
236.820s - 237.354s | F#m        | [STRUCTURAL]
237.354s - 237.958s | C#7        | [STRUCTURAL]
237.958s - 238.492s | C#m        | [STRUCTURAL]
238.492s - 239.026s | F#m        | [STRUCTURAL]
239.026s - 239.560s | C#m        | [STRUCTURAL]
239.560s - 240.071s | Bm         | [STRUCTURAL]
240.071s - 241.650s | C#m        | [STRUCTURAL]
241.650s - 242.161s | F#m        | [STRUCTURAL]
242.161s - 242.695s | Am         | [STRUCTURAL]
242.695s - 243.229s | F#m        | [STRUCTURAL]
243.229s - 243.740s | C#m        | [STRUCTURAL]
243.740s - 244.785s | F#m        | [STRUCTURAL]
244.785s - 245.319s | C#m        | [STRUCTURAL]
245.319s - 245.830s | Em7        | [STRUCTURAL]
245.830s - 246.340s | F#m        | [STRUCTURAL]
246.340s - 247.409s | Em7        | [STRUCTURAL]
247.409s - 247.919s | Bm         | [STRUCTURAL]
247.919s - 248.454s | Em7        | [STRUCTURAL]
248.454s - 248.964s | A7         | [STRUCTURAL]
248.964s - 249.475s | Em7        | [STRUCTURAL]
249.475s - 250.520s | F#m        | [STRUCTURAL]
250.520s - 253.098s | Em7        | [STRUCTURAL]
253.098s - 254.676s | F#m        | [STRUCTURAL]
254.676s - 256.279s | C#m        | [STRUCTURAL]
256.279s - 256.789s | Em7        | [STRUCTURAL]
256.789s - 258.345s | C#m        | [STRUCTURAL]
258.345s - 258.879s | F#m        | [STRUCTURAL]
258.879s - 259.390s | Em7        | [STRUCTURAL]
259.390s - 259.924s | F#m        | [STRUCTURAL]
259.924s - 260.435s | C#m        | [STRUCTURAL]
260.435s - 260.969s | Eadd9      | [STRUCTURAL]
260.969s - 263.036s | F#m        | [STRUCTURAL]
263.036s - 263.570s | Em7        | [STRUCTURAL]
263.570s - 264.104s | F#m        | [STRUCTURAL]
264.104s - 264.615s | C#m        | [STRUCTURAL]
264.615s - 265.125s | Em7        | [STRUCTURAL]
265.125s - 265.636s | F#m        | [STRUCTURAL]
265.636s - 266.147s | C#m        | [STRUCTURAL]
266.147s - 267.726s | F#m        | [STRUCTURAL]
267.726s - 268.260s | Em7        | [STRUCTURAL]
268.260s - 268.771s | C#m        | [STRUCTURAL]
268.771s - 269.282s | Em7        | [STRUCTURAL]
269.282s - 271.906s | F#m        | [STRUCTURAL]
271.906s - 272.417s | C#m        | [STRUCTURAL]
272.417s - 272.951s | F#m        | [STRUCTURAL]
272.951s - 273.995s | C#7        | [STRUCTURAL]
273.995s - 275.040s | Em7        | [STRUCTURAL]
275.040s - 275.551s | Bm         | [STRUCTURAL]
275.551s - 276.596s | F#m        | [STRUCTURAL]
276.596s - 277.641s | F#m        | [STRUCTURAL]
277.641s - 278.175s | Em7        | [STRUCTURAL]
278.175s - 279.708s | F#m        | [STRUCTURAL]
279.708s - 280.242s | C#m        | [STRUCTURAL]
280.242s - 281.287s | C#7        | [STRUCTURAL]
281.287s - 281.821s | Am         | [STRUCTURAL]
281.821s - 283.376s | C#7        | [STRUCTURAL]
283.376s - 283.910s | Am         | [STRUCTURAL]
283.910s - 284.444s | C#m        | [STRUCTURAL]
284.444s - 284.955s | Am         | [STRUCTURAL]
284.955s - 286.000s | C#m        | [STRUCTURAL]
286.000s - 286.511s | F#m        | [STRUCTURAL]
