128.824s - 129.358s | B          | [STRUCTURAL]
129.358s - 132.470s | E          | [STRUCTURAL]
132.470s - 132.981s | F#m        | [STRUCTURAL]
132.981s - 134.560s | E          | [STRUCTURAL]
134.560s - 135.605s | F##        | [STRUCTURAL]
135.605s - 136.139s | Fbm        | [STRUCTURAL]
136.139s - 137.207s | F#m        | [STRUCTURAL]
137.207s - 137.694s | C#m        | [STRUCTURAL]
137.694s - 138.205s | C#         | [STRUCTURAL]
138.205s - 141.874s | E          | [STRUCTURAL]
141.874s - 142.408s | C#m        | [STRUCTURAL]
142.408s - 142.919s | E          | [STRUCTURAL]
142.919s - 143.453s | F##        | [STRUCTURAL]
143.453s - 143.964s | E          | [STRUCTURAL]
143.964s - 144.498s | F#m        | [STRUCTURAL]
144.498s - 148.143s | E          | [STRUCTURAL]
148.143s - 148.677s | B          | [STRUCTURAL]
148.677s - 150.210s | E          | [STRUCTURAL]
150.210s - 150.721s | C#m        | [STRUCTURAL]
150.721s - 152.323s | E          | [STRUCTURAL]
152.323s - 152.834s | B          | [STRUCTURAL]
152.834s - 153.902s | E          | [STRUCTURAL]
153.902s - 154.947s | F#m        | [STRUCTURAL]
154.947s - 157.013s | E          | [STRUCTURAL]
157.013s - 157.547s | A          | [STRUCTURAL]
157.547s - 158.058s | Ebm        | [STRUCTURAL]
158.058s - 159.103s | F#m        | [STRUCTURAL]
159.103s - 159.614s | B          | [STRUCTURAL]
159.614s - 161.193s | E          | [STRUCTURAL]
161.193s - 161.704s | B          | [STRUCTURAL]
161.704s - 163.260s | E          | [STRUCTURAL]
163.260s - 166.905s | C#m        | [STRUCTURAL]
166.905s - 167.462s | Ebm        | [STRUCTURAL]
167.462s - 168.507s | E          | [STRUCTURAL]
168.507s - 169.018s | C#         | [STRUCTURAL]
169.018s - 169.529s | F##        | [STRUCTURAL]
169.529s - 172.664s | E          | [STRUCTURAL]
172.664s - 173.174s | C#m        | [STRUCTURAL]
173.174s - 173.685s | E          | [STRUCTURAL]
173.685s - 174.196s | B          | [STRUCTURAL]
174.196s - 174.753s | E          | [STRUCTURAL]
174.753s - 175.264s | F##        | [STRUCTURAL]
175.264s - 175.775s | C#m        | [STRUCTURAL]
175.775s - 176.286s | F##        | [STRUCTURAL]
176.286s - 176.843s | E          | [STRUCTURAL]
176.843s - 177.377s | C#m        | [STRUCTURAL]
177.377s - 177.888s | Ebm        | [STRUCTURAL]
177.888s - 179.955s | B          | [STRUCTURAL]
179.955s - 181.000s | E          | [STRUCTURAL]
181.000s - 181.534s | F##        | [STRUCTURAL]
181.534s - 182.044s | C#         | [STRUCTURAL]
182.044s - 182.555s | C#m        | [STRUCTURAL]
182.555s - 183.577s | E          | [STRUCTURAL]
183.577s - 184.111s | B          | [STRUCTURAL]
184.111s - 184.668s | C#m        | [STRUCTURAL]
184.668s - 185.690s | C#         | [STRUCTURAL]
185.690s - 186.224s | E          | [STRUCTURAL]
186.224s - 187.780s | C#         | [STRUCTURAL]
187.780s - 188.291s | F#m        | [STRUCTURAL]
188.291s - 190.380s | C#m        | [STRUCTURAL]
